city,country,avg_temperature,flight_price,safety_score,travel_duration,destination_type
Malaga,Spain,24,180,85,2.8,Beach
Algarve,Portugal,23,190,88,3.0,Beach
Split,Croatia,25,160,78,2.2,Beach
Barcelona,Spain,22,150,80,1.9,City
Vienna,Austria,18,120,92,1.3,City
Paris,France,17,140,75,1.5,City
Rome,Italy,21,130,76,1.6,City
Zurich,Switzerland,16,100,95,0.8,City
Nice,France,23,170,82,1.7,Beach
Athens,Greece,26,210,74,2.6,City
Amsterdam,Netherlands,15,130,89,1.7,City
Lisbon,Portugal,22,180,86,2.8,Beach
Dubrovnik,Croatia,24,200,79,2.3,Beach
Innsbruck,Austria,12,110,94,1.1,Mountains
Interlaken,Switzerland,13,90,96,1.0,Mountains
Oslo,Norway,10,220,93,2.5,Nature
Stockholm,Sweden,11,200,91,2.4,City
Prague,Czech Republic,16,100,84,1.3,City
Budapest,Hungary,18,120,81,1.6,City
Reykjavik,Iceland,8,280,97,3.8,Nature
